Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Joe DiMaggio,,,1182,5127,224,870,979,14,11.5 %,4.9 %,0.24,0.298,0.316,0.399,0.556,0.433,153,-2.1,346.3,11.7,54.4,1003311,N
Vince DiMaggio,,,820,3144,98,363,452,60,9.7 %,18.5 %,0.175,0.288,0.253,0.329,0.428,0.354,111,10.6,52.1,-7.1,14.5,1003312,N
Larry Doby,,,1533,6302,253,960,970,47,13.8 %,16.0 %,0.207,0.307,0.283,0.386,0.49,0.396,137,-2.4,288,7,51.1,1003346,N
Dan Driessen,,,1732,6344,153,746,763,154,12.0 %,11.3 %,0.144,0.281,0.267,0.356,0.411,0.343,113,6.7,102.1,-107.1,21.3,1003501,N
Mike Easler,,,1151,4061,118,465,522,20,7.9 %,17.1 %,0.161,0.331,0.293,0.349,0.454,0.354,119,-6.3,81.1,-87.5,13.2,1003635,N
Jim Eisenreich,,,1422,4391,52,492,477,105,7.4 %,9.9 %,0.114,0.312,0.29,0.341,0.404,0.33,101,5.3,12.1,-40.7,11.4,1003719,N
Bob Elliott,,,1946,8050,167,1046,1176,60,11.9 %,7.5 %,0.15,0.296,0.288,0.375,0.438,0.38,124,9.2,245.4,-20.4,49.3,1003733,N
Del Ennis,,,1903,7940,288,985,1284,45,7.5 %,9.1 %,0.187,0.282,0.284,0.34,0.472,0.365,116,3.9,154.7,-121.9,28.7,1003786,N
Hoot Evers,,,1142,4310,98,556,565,45,9.6 %,9.7 %,0.148,0.291,0.278,0.353,0.426,0.36,106,-5.6,28.4,-18.9,15.4,1003875,N
Ferris Fain,,,1151,4904,48,595,570,46,18.4 %,5.3 %,0.106,0.301,0.29,0.424,0.396,0.39,127,-0.4,160.5,-50.4,27.8,1003902,N
Tony Fernandez,,,2158,8793,94,1057,844,246,7.8 %,8.9 %,0.111,0.308,0.288,0.347,0.399,0.333,102,-9.1,19.3,116.9,43.5,1004002,N
Cecil Fielder,,,1470,5939,319,744,1008,2,11.7 %,22.2 %,0.227,0.279,0.255,0.345,0.482,0.36,118,-2.9,122.7,-136.1,19,1004026,N
George Foster,,,1977,7812,348,986,1239,51,8.5 %,18.2 %,0.206,0.296,0.274,0.338,0.48,0.36,126,-0.8,233.2,-39.7,47.1,1004250,N
Tito Francona,,,1719,5776,125,650,656,46,9.4 %,12.0 %,0.13,0.292,0.272,0.343,0.403,0.333,106,3,47.6,-86.9,14.3,1004293,N
Jim Fregosi,,,1902,7402,151,844,706,76,9.7 %,14.8 %,0.134,0.296,0.265,0.338,0.398,0.331,113,2.1,110.9,77.1,44.2,1004330,N
Lonny Frey,,,770,3121,22,391,230,62,12.7 %,7.1 %,0.086,0.275,0.258,0.356,0.345,0.338,105,10.8,27.6,92.4,22,1004343,N
Augie Galan,,,972,3613,45,506,430,42,16.8 %,5.1 %,0.129,0.3,0.292,0.414,0.421,0.399,136,6.3,160.3,-30.2,25.9,1004440,N
Mike Gallego,,,1111,3379,42,374,282,24,9.6 %,13.8 %,0.089,0.269,0.239,0.32,0.328,0.298,84,-8.2,-72.7,101.2,14.1,1004458,N
Jim Gantner,,,1801,6787,47,726,568,137,5.6 %,7.4 %,0.077,0.29,0.274,0.319,0.351,0.302,87,-4.6,-106.5,75.3,19.5,1004483,N
Wayne Garrett,,,1092,3917,61,438,340,38,14.3 %,13.5 %,0.102,0.267,0.239,0.35,0.341,0.32,99,-2.8,-7.5,46.6,17.6,1004547,N
Ralph Garr,,,1317,5456,75,717,408,172,4.5 %,8.2 %,0.111,0.323,0.306,0.339,0.416,0.339,106,4.2,39.2,-107.1,12.2,1004554,N
Jim Gentile,,,936,3479,179,434,549,3,13.7 %,19.1 %,0.227,0.275,0.26,0.368,0.486,0.374,133,1.2,142.1,-48.3,20.4,1004612,N
Cesar Geronimo,,,1522,4229,51,460,392,82,8.4 %,17.6 %,0.11,0.308,0.258,0.325,0.368,0.311,91,2,-42.9,46.5,14.5,1004639,N
Bernard Gilkey,,,1239,4626,118,606,546,115,10.1 %,15.3 %,0.159,0.304,0.275,0.352,0.434,0.347,111,-7.1,54.7,22.8,22.7,1004706,N
Jim Gilliam,,,1956,8321,65,1163,558,203,12.5 %,5.0 %,0.09,0.273,0.265,0.36,0.355,0.329,98,1,-20.6,70.7,32.7,1004724,N
Dan Gladden,,,1197,4962,74,663,446,222,6.8 %,12.6 %,0.112,0.298,0.27,0.324,0.382,0.317,95,6,-23.7,-16.8,12.5,1004750,N
Sid Gordon,,,1475,5811,202,735,805,19,12.6 %,6.1 %,0.183,0.273,0.283,0.377,0.466,0.388,128,2.9,207,-39.2,35.8,1004877,N
Dick Green,,,1288,4462,80,427,422,26,7.7 %,17.6 %,0.108,0.278,0.24,0.303,0.347,0.295,87,-1,-67.6,92.9,16.3,1004991,N
Bobby Grich,,,2008,8220,224,1033,864,104,13.2 %,15.5 %,0.158,0.296,0.266,0.371,0.424,0.361,129,-10.2,254.9,134.1,69.2,1005033,N
