Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Tim McCarver,1959,1980,1909,6206,97,590,645,61,8.8 %,6.8 %,0.117,0.277,0.271,0.337,0.388,0.322,100,-4.2,-4.9,50.3,27.8,1008378,N
Willie McCovey,1959,1980,2588,9691,521,1229,1555,26,13.9 %,16.0 %,0.245,0.273,0.27,0.374,0.515,0.388,145,-0.4,498.7,-206.6,67.4,1008423,N
Manny Mota,1962,1982,1536,4227,31,496,438,50,6.8 %,7.6 %,0.085,0.323,0.304,0.355,0.389,0.334,112,-4.4,54,-60.3,15,1009259,N
Willie Stargell,1962,1982,2360,9026,475,1195,1540,17,10.4 %,21.4 %,0.247,0.314,0.282,0.36,0.529,0.387,145,-0.8,457.5,-185,62.9,1012426,N
Vic Davalillo,1963,1980,1458,4296,36,509,329,125,4.9 %,9.8 %,0.085,0.303,0.279,0.315,0.364,0.304,93,5.2,-26.7,20.6,12.8,1003012,N
Willie Horton,1963,1980,2028,8052,325,873,1163,20,7.7 %,16.3 %,0.183,0.292,0.273,0.332,0.457,0.351,119,-8.5,160.8,-157.7,27.5,1006038,N
Rusty Staub,1963,1985,2951,11229,292,1189,1466,47,11.2 %,7.9 %,0.151,0.28,0.279,0.362,0.431,0.353,122,-0.5,282.2,-216,47.9,1012440,N
Paul Blair,1964,1980,1947,6673,134,776,620,171,6.7 %,13.1 %,0.131,0.271,0.25,0.302,0.382,0.309,97,0.9,-20.8,160.3,35.3,1001031,N
Bert Campaneris,1964,1983,2328,9625,79,1181,646,649,6.4 %,11.9 %,0.083,0.288,0.259,0.311,0.342,0.298,90,57.7,-56,181.5,44.9,1001868,N
Tony Perez,1964,1986,2777,10861,379,1272,1652,49,8.5 %,17.2 %,0.184,0.308,0.279,0.341,0.463,0.356,121,-0.7,263,-75.1,58.9,1010188,N
Lou Piniella,1964,1984,1747,6362,102,651,766,32,5.8 %,8.5 %,0.118,0.303,0.291,0.333,0.409,0.33,107,-8.1,40,-126.2,12.3,1010356,N
Mark Belanger,1965,1982,2016,6602,20,676,389,167,8.7 %,12.7 %,0.052,0.261,0.228,0.3,0.28,0.272,71,6.4,-206.4,345.6,34.9,1000786,N
Bud Harrelson,1965,1980,1533,5516,7,539,267,127,11.5 %,11.8 %,0.052,0.271,0.236,0.327,0.288,0.289,80,4.6,-116.8,115.5,19.1,1005387,N
Ken Henderson,1965,1980,1444,5227,122,595,576,86,11.3 %,14.6 %,0.139,0.282,0.257,0.343,0.396,0.334,106,2.6,38,-43.4,17.9,1005634,N
Lee May,1965,1982,2071,8219,354,959,1244,39,5.9 %,19.1 %,0.192,0.292,0.267,0.313,0.459,0.343,116,-3.4,139.4,-159.5,27.6,1008303,N
Bobby Murcer,1965,1983,1908,7718,252,972,1043,127,11.2 %,10.9 %,0.168,0.282,0.277,0.357,0.445,0.359,124,-1.3,205.9,-156.6,32.6,1009338,N
Rick Monday,1966,1984,1986,7162,241,950,775,98,12.9 %,21.1 %,0.179,0.312,0.264,0.361,0.443,0.361,125,-12.9,187,-132.8,31.1,1009051,N
Reggie Smith,1966,1982,1987,8050,314,1123,1092,137,11.1 %,12.8 %,0.202,0.295,0.287,0.366,0.489,0.379,137,-2.5,331.7,25.5,64.6,1012201,N
Bob Watson,1966,1984,1832,6962,184,802,989,27,9.4 %,11.4 %,0.152,0.312,0.295,0.364,0.447,0.362,128,-4,217.8,-158.8,31.1,1013677,N
Pat Kelly,1967,1981,1385,5011,76,620,418,250,11.7 %,15.3 %,0.112,0.304,0.264,0.354,0.377,0.336,110,6,60.4,-108.6,11.9,1006810,N
Graig Nettles,1967,1988,2700,10227,390,1193,1314,32,10.6 %,11.8 %,0.173,0.245,0.248,0.329,0.421,0.337,111,-6.2,119.6,179,65.7,1009517,N
Amos Otis,1967,1984,1998,8247,193,1092,1007,341,9.2 %,12.2 %,0.149,0.295,0.277,0.343,0.425,0.345,115,34.5,168.3,-58.3,40.2,1009893,N
Joe Rudi,1967,1982,1547,6077,179,684,810,25,6.1 %,14.3 %,0.162,0.283,0.264,0.311,0.427,0.329,111,0.4,69.1,-26.5,24.6,1011283,N
Manny Sanguillen,1967,1980,1448,5380,65,566,585,36,4.1 %,6.2 %,0.102,0.305,0.296,0.326,0.398,0.321,99,-5.9,-10.2,93.5,27.8,1011434,N
Dusty Baker,1968,1986,2039,8022,242,964,1013,137,9.5 %,11.5 %,0.153,0.288,0.278,0.347,0.432,0.349,117,0.2,159.8,-61.8,37.9,1000450,N
Bobby Bonds,1968,1981,1849,8090,332,1258,1024,460,11.3 %,21.7 %,0.203,0.31,0.268,0.353,0.471,0.368,130,28.9,303.9,-34.6,57.1,1001157,N
Richie Hebner,1968,1985,1908,7022,203,865,890,38,9.8 %,10.6 %,0.162,0.283,0.276,0.352,0.438,0.353,119,-6.6,149.6,-50.7,35.7,1005571,N
Larry Hisle,1968,1981,1197,4780,166,652,674,128,9.7 %,19.7 %,0.18,0.312,0.273,0.347,0.452,0.358,123,3.3,126.2,-66.2,23.2,1005858,N
Hal McRae,1968,1987,2084,8059,191,940,1097,109,8.0 %,9.7 %,0.165,0.3,0.29,0.351,0.454,0.358,122,-7.7,198.8,-188.8,28.7,1008687,N
Don Money,1968,1983,1720,6998,176,798,729,80,8.6 %,12.4 %,0.145,0.277,0.261,0.328,0.406,0.331,106,-1.9,46.3,28.2,32,1009052,N
Freddie Patek,1968,1981,1650,6247,41,736,490,385,8.4 %,12.6 %,0.081,0.274,0.242,0.309,0.324,0.291,79,28.5,-114.8,105.1,20.4,1010052,N
Merv Rettenmund,1968,1980,1023,3074,66,393,329,68,14.5 %,12.4 %,0.135,0.295,0.271,0.381,0.406,0.361,128,4,101.9,-6.7,20.4,1010846,N
Ted Simmons,1968,1988,2456,9685,248,1074,1389,21,8.8 %,7.2 %,0.152,0.284,0.285,0.348,0.437,0.347,116,-7.6,164.6,28.1,54.2,1011986,N
Dave Cash,1969,1980,1422,6057,21,732,426,120,7.0 %,5.1 %,0.075,0.295,0.283,0.334,0.358,0.316,95,-3,-38.3,69.7,24,1002041,N
Rick Dempsey,1969,1992,1766,5407,96,525,471,20,10.9 %,13.6 %,0.114,0.256,0.233,0.319,0.347,0.306,91,-3.7,-62,154.5,27.7,1003203,N
Darrell Evans,1969,1989,2687,10737,414,1344,1354,99,14.9 %,13.1 %,0.183,0.25,0.248,0.361,0.431,0.355,120,-6.7,244.6,-13.5,61.2,1003864,N
Carlton Fisk,1969,1993,2499,9853,376,1276,1330,128,8.6 %,14.1 %,0.188,0.28,0.269,0.341,0.457,0.354,117,2.5,191.1,133.2,68.3,1004101,N
Oscar Gamble,1969,1985,1584,5197,200,656,666,47,11.7 %,10.5 %,0.189,0.263,0.265,0.356,0.454,0.362,127,-3.9,156.3,-130.4,20.6,1004473,N
Steve Garvey,1969,1987,2332,9466,272,1143,1308,83,5.1 %,10.6 %,0.152,0.304,0.294,0.329,0.446,0.342,116,-6.8,166.9,-118.7,37.8,1004557,N
Toby Harrah,1969,1985,2155,8767,195,1115,918,238,13.2 %,9.9 %,0.131,0.274,0.264,0.365,0.395,0.347,116,12.2,178,-32.5,45.8,1005384,N
Bill Russell,1969,1986,2181,8021,46,796,627,167,6.0 %,8.3 %,0.074,0.282,0.263,0.31,0.338,0.291,82,7.8,-157,166,28.2,1011311,N
Ted Sizemore,1969,1980,1411,5648,23,577,430,59,8.3 %,6.2 %,0.06,0.275,0.262,0.325,0.321,0.296,81,-4.2,-126.8,73.7,13.6,1012027,N
Gene Tenace,1969,1983,1555,5525,201,653,674,36,17.8 %,18.1 %,0.187,0.266,0.241,0.388,0.429,0.373,140,-7.7,239.3,5.2,45,1012911,N
Cesar Cedeno,1970,1986,2006,8133,199,1084,976,550,8.2 %,11.5 %,0.158,0.302,0.285,0.347,0.443,0.353,122,42.3,248.6,-50.4,49.9,1002100,N
Dave Concepcion,1970,1988,2488,9641,101,993,950,321,7.6 %,12.3 %,0.09,0.296,0.267,0.322,0.357,0.306,88,22.4,-106.5,172.3,39.7,1002494,N
Jose Cruz,1970,1988,2353,8931,165,1036,1077,317,10.1 %,11.5 %,0.136,0.307,0.284,0.354,0.42,0.344,119,10.4,206.1,-11.3,50.8,1002841,N
Joe Ferguson,1970,1983,1013,3624,122,407,445,22,15.5 %,16.7 %,0.17,0.259,0.24,0.358,0.409,0.346,118,0.7,75.7,31.4,23.7,1003990,N
Greg Luzinski,1970,1984,1821,7518,307,880,1128,37,11.2 %,19.9 %,0.202,0.311,0.276,0.363,0.478,0.373,131,-3.5,260.4,-201.3,32.7,1007855,N
Milt May,1970,1984,1192,4075,77,313,443,4,7.5 %,8.9 %,0.108,0.272,0.263,0.318,0.371,0.308,91,-3.5,-43.8,74.6,17.2,1008304,N
Mickey Rivers,1970,1984,1468,6026,61,785,499,267,4.4 %,7.8 %,0.102,0.312,0.295,0.327,0.397,0.326,106,19.2,57.1,-25.2,23.9,1011005,N
Ken Singleton,1970,1984,2082,8559,246,985,1065,21,14.8 %,14.6 %,0.154,0.31,0.282,0.388,0.436,0.371,134,-7.8,322.3,-183.7,44.4,1012011,N
Ron Cey,1971,1987,2073,8344,316,977,1139,24,12.1 %,14.8 %,0.184,0.273,0.261,0.354,0.445,0.356,123,-5.8,208.4,46.5,55.6,1002108,N
Chris Chambliss,1971,1988,2175,8314,185,912,972,40,7.6 %,11.1 %,0.136,0.295,0.279,0.334,0.415,0.334,108,-4.6,68.4,-87.9,25.9,1002119,N
Cecil Cooper,1971,1987,1896,7939,241,1012,1125,89,5.6 %,11.5 %,0.168,0.311,0.298,0.337,0.466,0.353,119,-1.2,176.1,-112,33.8,1002592,N
George Hendrick,1971,1988,2048,7833,267,941,1111,59,7.2 %,12.9 %,0.168,0.289,0.278,0.329,0.446,0.343,115,-5.9,131.9,-120.6,28.2,1005642,N
Dave Kingman,1971,1986,1941,7429,442,901,1210,85,8.2 %,24.4 %,0.242,0.252,0.236,0.302,0.478,0.343,113,-1.5,107.5,-162.2,20.4,1006939,N
Billy North,1971,1981,1169,4621,20,640,230,395,13.6 %,14.4 %,0.062,0.308,0.261,0.365,0.323,0.324,106,17.1,47.7,20.2,22.8,1009638,N
Ben Oglivie,1971,1986,1754,6598,235,784,901,87,8.5 %,12.9 %,0.177,0.282,0.273,0.336,0.45,0.346,116,-9.7,110.1,-76.9,25.8,1009746,N
Darrell Porter,1971,1987,1782,6570,188,765,826,39,13.8 %,15.6 %,0.162,0.269,0.247,0.354,0.409,0.342,113,-5.9,94.3,80.3,40.8,1010450,N
Chris Speier,1971,1989,2260,8155,112,770,720,42,10.4 %,12.1 %,0.103,0.27,0.246,0.327,0.349,0.307,89,-11.8,-115.3,145.6,31.3,1012316,N
Rennie Stennett,1971,1981,1237,4810,41,500,432,75,4.3 %,7.2 %,0.084,0.288,0.274,0.306,0.359,0.299,84,-5.1,-89.7,66.9,13.7,1012484,N
Richie Zisk,1971,1983,1453,5737,207,681,792,8,9.3 %,15.9 %,0.178,0.312,0.287,0.353,0.466,0.365,127,-3.4,171.8,-101.2,27.3,1014455,N
Bob Boone,1972,1990,2264,8148,105,679,826,38,8.1 %,7.5 %,0.092,0.262,0.254,0.315,0.346,0.298,82,-12.3,-186.8,232.2,31.9,1001183,N
Al Bumbry,1972,1985,1496,5619,54,778,402,254,8.4 %,12.6 %,0.096,0.317,0.281,0.343,0.378,0.328,106,15.8,55.6,-22.8,22.6,1001649,N
Dwight Evans,1972,1991,2606,10569,385,1470,1384,78,13.2 %,16.1 %,0.198,0.295,0.272,0.37,0.47,0.375,129,-9,348.4,-68.6,65.1,1003865,N
Cliff Johnson,1972,1986,1369,4603,196,539,699,9,12.3 %,15.6 %,0.202,0.267,0.258,0.355,0.459,0.363,126,-2.8,134.4,-123.4,17.1,1006437,N
Lee Lacy,1972,1987,1523,5004,91,650,458,185,7.4 %,13.1 %,0.124,0.316,0.286,0.339,0.41,0.336,109,3.2,54.2,-41.9,18.6,1007243,N
Davey Lopes,1972,1987,1812,7340,155,1023,614,557,11.3 %,11.6 %,0.125,0.281,0.263,0.349,0.388,0.336,111,67.8,158,0.4,41.8,1007750,N
Garry Maddox,1972,1986,1749,6777,117,777,754,248,4.8 %,11.5 %,0.128,0.307,0.285,0.32,0.413,0.326,100,14.8,13.5,87.3,33.4,1007948,N
Jorge Orta,1972,1987,1755,6458,130,733,745,79,7.7 %,11.1 %,0.134,0.295,0.278,0.334,0.412,0.335,107,-6.7,42.1,-142.2,12.1,1009853,N
Steve Yeager,1972,1986,1269,4015,102,357,410,14,8.5 %,18.1 %,0.127,0.256,0.228,0.298,0.355,0.293,82,-3.8,-86.1,134.6,18.5,1014332,N
Alan Ashby,1973,1989,1370,4699,90,397,513,7,9.8 %,13.2 %,0.116,0.266,0.245,0.32,0.361,0.305,92,-2.7,-45.3,15,13.1,1000336,N
Bucky Dent,1973,1984,1392,5026,40,451,423,17,6.5 %,6.9 %,0.074,0.257,0.247,0.297,0.321,0.284,75,-7.2,-154.4,141.9,15.5,1003212,N
Brian Downing,1973,1992,2344,9309,275,1188,1074,50,12.9 %,12.1 %,0.158,0.28,0.267,0.37,0.425,0.36,124,-8.6,259.9,-100.3,48.4,1003451,N
Phil Garner,1973,1988,1860,6861,109,780,738,225,8.2 %,12.3 %,0.129,0.283,0.26,0.323,0.389,0.317,99,4.2,-4,50,28.2,1004541,N
Ken Griffey,1973,1991,2097,8049,152,1129,859,200,8.9 %,11.2 %,0.135,0.319,0.296,0.359,0.431,0.354,119,7.2,186.7,-146.6,32.1,1005044,N
Bake McBride,1973,1983,1071,4202,63,548,430,183,5.9 %,10.9 %,0.121,0.323,0.299,0.345,0.42,0.343,111,12.5,64.5,3.2,21.3,1008340,N
Andre Thornton,1973,1986,1565,6295,253,792,895,48,13.9 %,13.5 %,0.198,0.256,0.254,0.36,0.452,0.361,122,-4.5,154.7,-133.5,23.8,1013037,N
Manny Trillo,1973,1989,1780,6573,61,598,571,56,6.9 %,11.3 %,0.082,0.289,0.263,0.316,0.345,0.3,81,-11.2,-153.8,43.6,10.7,1013184,N
Frank White,1973,1990,2324,8468,160,912,886,178,4.9 %,12.2 %,0.128,0.274,0.255,0.293,0.383,0.301,84,2.5,-153.8,182.5,31.1,1013872,N
Dave Winfield,1973,1995,2973,12358,465,1669,1833,223,9.8 %,13.6 %,0.192,0.296,0.283,0.353,0.475,0.364,128,5.9,406.5,-243.9,59.9,1014127,N
Bruce Bochte,1974,1985,1538,5994,100,643,658,43,10.9 %,11.0 %,0.113,0.305,0.282,0.36,0.396,0.341,112,-6.9,80.2,-99.9,18.2,1001106,N
Rick Burleson,1974,1987,1346,5717,50,656,449,72,7.3 %,8.3 %,0.088,0.29,0.273,0.328,0.361,0.315,88,-11.5,-90.2,113.4,21.9,1001696,N
Gary Carter,1974,1992,2295,9019,324,1025,1225,39,9.4 %,11.1 %,0.176,0.262,0.262,0.335,0.439,0.342,116,-9.1,151.3,222.1,69.4,1002015,N
Al Cowens,1974,1986,1584,6038,108,704,717,120,6.4 %,10.9 %,0.133,0.288,0.27,0.319,0.403,0.323,98,-4.8,-19.4,-57,12.2,1002689,N
Warren Cromartie,1974,1991,1107,4318,61,459,391,50,7.5 %,9.3 %,0.121,0.299,0.281,0.336,0.402,0.326,103,-3.9,10,19.4,17.5,1002786,N
Mike Hargrove,1974,1984,1666,6694,80,783,686,24,14.4 %,8.2 %,0.101,0.307,0.29,0.396,0.391,0.36,124,-9.1,173.4,-96.2,31,1005361,N
Keith Hernandez,1974,1990,2088,8553,162,1124,1071,98,12.5 %,11.8 %,0.14,0.322,0.296,0.384,0.436,0.365,131,-5.8,294.3,0.3,59.4,1005706,N
Larry Herndon,1974,1988,1537,5319,107,605,550,92,6.6 %,14.9 %,0.135,0.306,0.274,0.322,0.409,0.326,103,-4.2,13.8,-20.2,17.2,1005717,N
Art Howe,1974,1985,891,2954,43,268,293,10,9.3 %,9.7 %,0.12,0.275,0.26,0.329,0.379,0.316,102,-1.4,3.3,30.5,13.6,1006092,N
Ray Knight,1974,1988,1495,5291,84,490,595,14,6.5 %,10.9 %,0.118,0.29,0.271,0.321,0.39,0.316,98,-7.5,-18.9,-21,13.8,1007043,N
Sixto Lezcano,1974,1985,1291,4814,148,560,591,37,12.0 %,16.0 %,0.168,0.298,0.271,0.36,0.44,0.358,125,-4.2,135.3,-43.1,26.1,1007593,N
Fred Lynn,1974,1990,1969,7923,306,1063,1111,72,10.8 %,14.1 %,0.201,0.296,0.283,0.36,0.484,0.372,129,-7.3,261.4,-53.2,49.2,1007872,N
Jim Rice,1974,1989,2089,9058,382,1249,1451,58,7.4 %,15.7 %,0.204,0.318,0.298,0.352,0.502,0.375,128,-2.1,297.5,-106.3,50.8,1010897,N
John Stearns,1974,1983,810,3083,46,334,312,91,10.5 %,9.5 %,0.116,0.274,0.26,0.341,0.375,0.325,104,-1.3,11.1,68.7,18.9,1012446,N
Jim Sundberg,1974,1989,1962,6899,95,621,624,20,10.1 %,14.0 %,0.1,0.28,0.248,0.327,0.348,0.309,91,-10.6,-83.6,223.7,37.7,1012724,N
Robin Yount,1974,1993,2856,12249,251,1632,1406,271,7.9 %,11.0 %,0.144,0.303,0.285,0.342,0.43,0.343,113,11.6,206,27.3,66.5,1014396,N
Jack Clark,1975,1992,1994,8230,340,1118,1180,77,15.3 %,17.5 %,0.209,0.289,0.267,0.379,0.476,0.377,138,-10,349.1,-135.7,50.6,1002288,N
Dave Collins,1975,1990,1701,5507,32,667,373,395,8.5 %,12.0 %,0.079,0.307,0.272,0.338,0.351,0.315,95,24.5,-6.8,-38.5,13.8,1002449,N
Dan Ford,1975,1985,1153,4582,121,598,566,61,6.6 %,15.8 %,0.157,0.298,0.27,0.324,0.427,0.336,109,-1.7,42.1,-95.9,10.3,1004216,N
Chet Lemon,1975,1990,1988,7874,215,973,884,58,9.5 %,13.0 %,0.169,0.292,0.273,0.355,0.442,0.356,122,-18.6,182.4,63.3,52,1007518,N
Willie Randolph,1975,1992,2202,9461,54,1239,687,271,13.1 %,7.1 %,0.076,0.293,0.276,0.373,0.351,0.335,109,16.2,123.2,168.2,62,1010694,N
Jerry Remy,1975,1983,1154,4963,7,605,329,208,7.2 %,8.1 %,0.053,0.299,0.275,0.327,0.328,0.301,83,3.5,-91.6,37.2,11,1010828,N
Ellis Valentine,1975,1983,894,3392,123,380,474,59,5.3 %,13.6 %,0.179,0.29,0.278,0.315,0.458,0.342,113,-2.4,48.3,2.9,16.8,1013326,N
Tony Armas,1976,1989,1432,5502,251,614,815,18,4.7 %,21.8 %,0.2,0.279,0.252,0.287,0.453,0.324,100,-4.5,-4.8,-15.3,16.5,1000305,N
Rich Dauer,1976,1985,1140,4218,43,448,372,6,7.0 %,5.2 %,0.086,0.261,0.257,0.31,0.343,0.297,85,-3.3,-78.7,68.1,13,1003006,N
Andre Dawson,1976,1996,2627,10768,438,1373,1591,314,5.5 %,14.0 %,0.203,0.288,0.279,0.323,0.482,0.35,117,18.8,230.5,-11.8,59.5,1003091,N
Wayne Gross,1976,1986,1106,3680,121,373,396,24,13.1 %,13.5 %,0.162,0.239,0.233,0.337,0.395,0.33,107,-3.5,26.8,-12.9,14,1005091,N
Ruppert Jones,1976,1987,1331,5041,147,643,579,143,10.6 %,16.2 %,0.166,0.274,0.25,0.33,0.416,0.332,106,-4.1,31.6,2.6,20.7,1006588,N
Dale Murphy,1976,1993,2180,9041,398,1197,1266,161,10.9 %,19.3 %,0.204,0.292,0.265,0.346,0.469,0.357,119,3.9,206.3,-76.2,44.3,1009355,N
Gary Roenicke,1976,1988,1064,3204,121,367,410,16,12.7 %,13.4 %,0.187,0.251,0.247,0.351,0.434,0.352,119,-4.9,69.1,0.6,17.9,1011120,N
Jason Thompson,1976,1985,1418,5686,208,640,782,8,14.4 %,15.2 %,0.177,0.276,0.261,0.366,0.438,0.359,123,-0.9,148.3,-76.9,27.1,1013014,N
Ernie Whitt,1976,1991,1328,4271,134,447,534,22,10.2 %,11.5 %,0.161,0.252,0.249,0.324,0.41,0.326,98,-6.9,-16.2,82.3,21.4,1013912,N
Willie Wilson,1976,1994,2154,8317,41,1168,585,668,5.1 %,13.8 %,0.09,0.329,0.285,0.326,0.376,0.315,94,79.3,15.6,80.5,37.8,1014113,N
Butch Wynegar,1976,1987,1301,5067,65,498,506,10,12.4 %,8.4 %,0.093,0.268,0.255,0.348,0.347,0.32,96,-3,-25.8,123.1,27.3,1014308,N
Steve Kemp,1977,1986,1168,4714,130,581,634,39,12.2 %,12.8 %,0.153,0.296,0.278,0.367,0.431,0.358,121,-1.1,113.9,-84.5,19.3,1006827,N
Rance Mulliniks,1977,1992,1325,4089,73,445,435,15,11.2 %,13.6 %,0.134,0.302,0.272,0.354,0.407,0.341,109,-2.5,42,-14.5,16.7,1009309,N
Ken Oberkfell,1977,1992,1602,5528,29,558,446,62,9.9 %,6.4 %,0.085,0.292,0.278,0.351,0.362,0.321,98,-7.1,-19.9,32.1,20,1009677,N
Lance Parrish,1977,1995,1988,7797,324,856,1070,28,7.8 %,19.6 %,0.188,0.276,0.252,0.313,0.44,0.332,105,-10.2,34.9,128.5,43.4,1010021,N
Terry Puhl,1977,1991,1531,5480,62,676,435,217,9.2 %,9.3 %,0.108,0.301,0.28,0.349,0.388,0.332,113,4.2,86.9,-9.9,26.7,1010562,N
Gene Richards,1977,1983,1026,3958,26,502,255,247,9.0 %,11.0 %,0.093,0.323,0.29,0.357,0.383,0.334,113,15.1,72.8,-35.4,17.5,1010907,N
Alan Trammell,1977,1996,2293,9376,185,1231,1003,236,9.1 %,9.3 %,0.13,0.298,0.285,0.352,0.415,0.343,111,2.3,124.1,184.4,63.7,1013157,N
Lou Whitaker,1977,1995,2390,9967,244,1386,1084,143,12.0 %,11.0 %,0.15,0.29,0.276,0.363,0.426,0.353,118,-2.7,204.8,127.1,68.1,1013846,N
Bump Wills,1977,1981,831,3440,36,472,302,196,9.0 %,12.8 %,0.094,0.299,0.266,0.335,0.36,0.316,95,14.4,-5.7,32.8,14.5,1014049,N
Pedro Guerrero,1978,1992,1536,6115,215,730,898,97,10.0 %,14.1 %,0.18,0.32,0.3,0.37,0.48,0.371,138,-0.8,261.5,-116.3,36.5,1005120,N
Ron Hassey,1978,1991,1192,3906,71,348,438,14,9.9 %,9.7 %,0.116,0.278,0.266,0.34,0.382,0.325,101,-1.9,4.7,29.7,16.9,1005479,N
Mike Heath,1978,1991,1325,4586,86,462,469,54,6.1 %,13.4 %,0.115,0.275,0.252,0.3,0.367,0.298,86,-5.9,-80,44.8,11.8,1005564,N
Bob Horner,1978,1988,1020,4213,218,560,684,14,8.8 %,12.2 %,0.222,0.268,0.277,0.34,0.499,0.367,126,-4.6,119,-73.2,19.5,1006026,N
Glenn Hubbard,1978,1989,1354,5122,70,545,448,35,10.5 %,12.5 %,0.105,0.269,0.244,0.328,0.349,0.307,85,-7.7,-94.3,71.2,14.9,1006120,N
Terry Kennedy,1978,1991,1491,5421,113,474,628,6,6.7 %,15.8 %,0.122,0.296,0.264,0.314,0.386,0.308,94,-5.7,-43.5,96.6,24.1,1006850,N
Paul Molitor,1978,1998,2683,12167,234,1782,1307,504,9.0 %,10.2 %,0.142,0.326,0.306,0.369,0.448,0.361,122,46.6,366.1,-114.4,67.7,1009040,N
Dwayne Murphy,1978,1989,1360,5242,166,648,609,100,14.3 %,18.2 %,0.156,0.276,0.246,0.356,0.402,0.343,116,-4.9,94.1,46.2,32.3,1009359,N
Lonnie Smith,1978,1994,1613,5952,98,909,533,370,10.5 %,14.3 %,0.132,0.326,0.288,0.371,0.42,0.357,123,17.7,169,-31.1,35,1012176,N
Willie Upshaw,1978,1988,1264,4736,123,596,528,88,9.5 %,13.6 %,0.157,0.283,0.262,0.335,0.419,0.334,103,-6.9,11.3,-44.2,12.5,1013293,N
Tim Raines,1979,2002,2502,10359,170,1571,980,807,12.8 %,9.3 %,0.131,0.312,0.294,0.385,0.425,0.361,125,100.4,408.2,-109.6,66.4,1406,N
John Castino,1979,1983,666,2578,41,293,249,22,6.9 %,11.6 %,0.119,0.303,0.278,0.329,0.398,0.327,97,-3,-11.6,52.7,12.8,1002062,N
Kirk Gibson,1979,1995,1635,6656,255,985,870,284,10.8 %,19.3 %,0.195,0.301,0.268,0.352,0.463,0.358,123,24.1,205.6,-77.7,35.9,1004669,N
Brian Harper,1979,1995,1001,3386,63,339,428,8,3.9 %,5.6 %,0.123,0.295,0.295,0.329,0.419,0.331,101,-5.8,-2.7,12.3,12.6,1005376,N
Dickie Thon,1979,1993,1387,4871,71,496,435,167,7.1 %,13.5 %,0.11,0.294,0.264,0.317,0.374,0.308,94,7.5,-28.2,62.3,20.3,1013033,N
Wally Backman,1980,1993,1102,3708,10,482,240,117,10.0 %,12.9 %,0.063,0.318,0.275,0.349,0.339,0.316,100,1.6,-2.4,-11.5,11.5,1000400,N
Harold Baines,1980,2001,2830,11092,384,1299,1628,34,9.6 %,13.0 %,0.175,0.303,0.289,0.356,0.465,0.358,119,-8.8,243.5,-235.7,38.5,1000434,N
Hubie Brooks,1980,1993,1645,6476,149,656,824,64,6.0 %,15.5 %,0.134,0.299,0.269,0.315,0.403,0.317,99,-10.5,-19.1,-62.5,13.8,1001472,N
Mike Davis,1980,1989,963,3298,91,419,371,134,7.2 %,16.3 %,0.155,0.286,0.259,0.313,0.415,0.321,102,3.7,15,0.5,12.5,1003070,N
Leon Durham,1980,1989,1067,4067,147,522,530,106,10.9 %,16.7 %,0.199,0.303,0.277,0.356,0.475,0.361,121,-3.3,95.7,-80.6,15.6,1003592,N
Rich Gedman,1980,1992,1033,3468,88,331,382,3,6.8 %,14.7 %,0.147,0.273,0.252,0.304,0.399,0.309,87,-1.7,-54.5,57.7,12.1,1004592,N
Eddie Milner,1980,1988,804,2718,42,376,195,145,10.5 %,10.3 %,0.122,0.271,0.253,0.333,0.376,0.32,97,-0.3,-10.2,36.5,11.8,1008964,N
Lloyd Moseby,1980,1991,1588,6574,169,869,737,280,9.4 %,17.3 %,0.157,0.291,0.257,0.332,0.414,0.332,103,18.1,41.8,-3.6,26,1009238,N
Mike Scioscia,1980,1992,1441,5057,68,398,446,29,11.2 %,6.1 %,0.097,0.263,0.259,0.344,0.356,0.314,100,-5.1,-6.2,115,28.5,1011667,N
Jesse Barfield,1981,1992,1428,5394,241,715,716,66,10.2 %,22.9 %,0.21,0.295,0.256,0.335,0.466,0.353,117,-6.9,101,104.3,39,1000537,N
George Bell,1981,1993,1587,6592,265,814,1002,67,5.0 %,11.7 %,0.191,0.278,0.278,0.316,0.469,0.343,111,-2.4,85.2,-103.5,20.3,1000808,N
Brett Butler,1981,1997,2213,9545,54,1359,578,558,11.8 %,9.5 %,0.086,0.319,0.29,0.377,0.376,0.344,115,6.1,169.7,-76.5,42.2,1001772,N
Jody Davis,1981,1990,1082,3984,127,364,490,7,8.4 %,17.9 %,0.158,0.269,0.245,0.307,0.403,0.313,89,-5.7,-56.2,97.4,17.6,1003060,N
Scott Fletcher,1981,1995,1612,5976,34,688,510,99,8.6 %,9.1 %,0.08,0.284,0.262,0.332,0.342,0.308,87,-5.3,-100.6,149.4,24.9,1004155,N
Gary Gaetti,1981,2000,2507,9817,360,1130,1341,96,6.5 %,16.3 %,0.179,0.271,0.255,0.308,0.434,0.325,95,-8.9,-68.1,135.9,39,1004422,N
Von Hayes,1981,1992,1495,6052,143,767,696,253,11.8 %,13.3 %,0.149,0.289,0.267,0.354,0.416,0.343,113,10.6,100.9,-28,28,1005531,N
